date,GEORGIA-PACIFIC CORP.,"CHURCH & DWIGHT CO., INC.",TRACTOR SUPPLY COMPANY,KBX LOGISTICS LLC,"MONDELEZ INTERNATIONAL, INC."
2023-01-01,2,0,10,0,1
2023-01-02,78,100,46,0,9
2023-01-03,52,96,95,0,101
2023-01-04,85,159,137,0,111
2023-01-05,54,131,128,0,138
2023-01-06,36,120,139,0,141
2023-01-07,1,0,9,0,5
2023-01-08,0,0,1,0,10
2023-01-09,37,98,154,0,106
2023-01-10,50,119,160,0,78
2023-01-11,24,192,125,0,93
2023-01-12,140,125,96,0,1
2023-01-13,32,62,117,0,0
2023-01-14,17,0,3,0,17
2023-01-15,1,0,4,0,14
2023-01-16,41,156,114,0,3
2023-01-17,40,130,164,0,94
2023-01-18,40,163,106,0,99
2023-01-19,60,146,169,0,81
2023-01-20,72,81,97,0,126
2023-01-21,3,0,12,0,6
2023-01-22,0,1,0,0,3
2023-01-23,50,170,97,0,96
2023-01-24,46,128,145,0,83
2023-01-25,41,118,126,0,143
2023-01-26,60,113,117,0,105
2023-01-27,70,126,119,0,94
2023-01-28,0,0,7,0,0
2023-01-29,2,0,4,0,9
2023-01-30,59,63,165,0,59
2023-01-31,43,89,110,0,89
2023-02-01,36,144,152,0,138
2023-02-02,68,164,182,0,115
2023-02-03,52,196,144,0,80
2023-02-04,9,0,5,0,2
2023-02-05,8,7,3,0,2
2023-02-06,89,164,120,0,105
2023-02-07,60,95,168,0,78
2023-02-08,62,143,157,0,135
2023-02-09,115,184,166,0,102
2023-02-10,72,164,169,0,77
2023-02-11,3,6,36,0,18
2023-02-12,4,0,11,0,4
2023-02-13,88,152,150,0,112
2023-02-14,55,193,137,0,112
2023-02-15,48,120,154,0,137
2023-02-16,63,146,146,0,137
2023-02-17,95,119,118,0,175
2023-02-18,8,0,3,0,10
2023-02-19,9,0,8,0,0
2023-02-20,39,161,83,0,122
2023-02-21,60,157,157,0,62
2023-02-22,54,85,196,0,133
2023-02-23,34,87,107,0,124
2023-02-24,54,94,166,0,72
2023-02-25,35,1,7,0,13
2023-02-26,11,3,7,0,1
2023-02-27,32,95,122,0,89
2023-02-28,41,158,119,0,64
2023-03-01,26,91,151,0,70
2023-03-02,50,137,124,0,106
2023-03-03,47,102,123,0,93
2023-03-04,16,0,8,0,4
2023-03-05,16,0,0,0,3
2023-03-06,51,142,107,0,65
2023-03-07,40,108,121,0,78
2023-03-08,60,54,120,0,122
2023-03-09,44,142,89,0,147
2023-03-10,60,123,123,0,78
2023-03-11,11,2,6,0,3
2023-03-12,9,1,0,0,5
2023-03-13,58,122,124,0,91
2023-03-14,36,115,160,0,85
2023-03-15,51,95,110,0,90
2023-03-16,47,68,149,0,190
2023-03-17,49,121,144,0,62
2023-03-18,13,0,8,0,12
2023-03-19,12,0,2,0,5
2023-03-20,86,155,94,0,105
2023-03-21,64,144,114,0,98
2023-03-22,49,134,128,0,125
2023-03-23,33,97,137,0,82
2023-03-24,70,106,141,0,73
2023-03-25,0,0,0,0,0
2023-03-26,0,0,0,0,0
2023-03-27,39,88,91,0,91
2023-03-28,30,138,89,0,70
2023-03-29,57,86,109,0,47
2023-03-30,48,113,150,0,101
2023-03-31,42,84,120,0,110
2023-04-01,0,0,0,0,0
2023-04-02,0,0,0,0,0
2023-04-03,62,110,130,0,62
2023-04-04,70,124,137,0,84
2023-04-05,15,57,144,0,108
2023-04-06,49,56,157,0,152
2023-04-07,51,77,95,0,82
2023-04-08,0,0,0,0,0
2023-04-09,0,0,0,0,0
2023-04-10,44,88,110,0,89
2023-04-11,54,119,142,0,91
2023-04-12,49,96,134,0,81
2023-04-13,29,26,76,0,61
2023-04-14,40,121,104,0,117
2023-04-15,0,0,0,0,0
2023-04-16,0,0,0,0,0
2023-04-17,58,99,99,0,82
2023-04-18,59,108,133,0,76
2023-04-19,37,53,153,0,84
2023-04-20,40,79,112,0,118
2023-04-21,65,93,124,0,84
2023-04-22,0,0,0,0,0
2023-04-23,0,0,0,0,0
2023-04-24,52,141,110,0,64
2023-04-25,58,77,114,0,138
2023-04-26,35,120,111,0,107
2023-04-27,49,59,118,0,91
2023-04-28,34,119,106,0,94
2023-04-29,0,0,0,0,0
2023-04-30,0,0,0,0,0
2023-05-01,68,117,102,0,78
2023-05-02,38,85,126,0,89
2023-05-03,59,65,140,0,93
2023-05-04,39,79,125,0,113
2023-05-05,38,45,125,0,96
2023-05-06,0,0,0,0,0
2023-05-07,0,0,0,0,0
2023-05-08,73,105,144,0,52
2023-05-09,75,95,157,0,86
2023-05-10,56,70,144,0,110
2023-05-11,42,75,135,0,132
2023-05-12,52,83,111,0,113
2023-05-13,0,0,0,0,0
2023-05-14,0,0,0,0,0
2023-05-15,60,43,102,0,71
2023-05-16,47,73,114,0,123
2023-05-17,55,76,121,0,141
2023-05-18,46,67,163,0,121
2023-05-19,69,99,119,0,117
2023-05-20,0,0,0,0,0
2023-05-21,0,0,0,0,0
2023-05-22,49,126,113,0,68
2023-05-23,37,168,136,0,109
2023-05-24,40,149,109,0,86
2023-05-25,45,93,92,0,125
2023-05-26,48,82,108,0,119
2023-05-27,0,0,0,0,0
2023-05-28,0,0,0,0,0
2023-05-29,20,25,23,0,4
2023-05-30,58,126,149,0,93
2023-05-31,55,129,203,0,79
2023-06-01,57,110,140,0,125
2023-06-02,71,107,154,0,79
2023-06-03,0,0,0,0,0
2023-06-04,0,0,0,0,0
2023-06-05,68,157,186,0,117
2023-06-06,42,130,142,0,89
2023-06-07,40,69,180,0,88
2023-06-08,55,107,175,0,138
2023-06-09,35,73,153,0,78
2023-06-10,0,0,0,0,0
2023-06-11,0,0,0,0,0
2023-06-12,41,113,138,0,102
2023-06-13,38,112,200,0,91
2023-06-14,52,78,169,0,86
2023-06-15,48,81,146,0,88
2023-06-16,60,53,164,0,77
2023-06-17,0,0,0,0,0
2023-06-18,0,0,0,0,0
2023-06-19,53,97,160,0,86
2023-06-20,40,126,201,0,98
2023-06-21,43,124,239,0,111
2023-06-22,40,111,143,0,38
2023-06-23,52,92,180,0,108
2023-06-24,0,0,0,0,0
2023-06-25,0,0,0,0,0
2023-06-26,36,79,207,0,103
2023-06-27,22,99,204,0,129
2023-06-28,23,83,146,0,103
2023-06-29,22,72,166,2,79
2023-06-30,33,65,159,15,102
2023-07-01,0,0,0,0,0
2023-07-02,0,0,0,0,0
2023-07-03,40,68,138,8,100
2023-07-04,13,75,3,1,10
2023-07-05,34,103,192,9,111
2023-07-06,24,118,178,10,71
2023-07-07,35,65,170,4,84
2023-07-08,0,0,0,0,0
2023-07-09,0,0,0,0,0
2023-07-10,37,166,159,10,106
2023-07-11,30,96,209,6,71
2023-07-12,31,89,170,4,99
2023-07-13,38,58,130,4,103
2023-07-14,49,46,171,8,106
2023-07-15,0,0,0,0,0
2023-07-16,0,0,0,0,0
2023-07-17,44,186,178,7,38
2023-07-18,40,84,186,12,103
2023-07-19,47,75,144,19,89
2023-07-20,35,96,194,6,115
2023-07-21,59,123,140,6,81
2023-07-22,0,0,0,0,0
2023-07-23,0,0,0,0,0
2023-07-24,89,123,194,11,79
2023-07-25,52,128,199,15,91
2023-07-26,47,61,155,12,95
2023-07-27,36,50,162,14,87
2023-07-28,67,56,134,10,75
2023-07-29,0,0,0,0,0
2023-07-30,0,0,0,0,0
2023-07-31,63,127,193,5,98
2023-08-01,15,119,148,16,112
2023-08-02,26,81,175,7,111
2023-08-03,52,72,150,3,122
2023-08-04,38,65,139,6,126
2023-08-05,0,0,0,0,0
2023-08-06,0,0,0,0,0
2023-08-07,25,131,179,11,88
2023-08-08,24,116,154,8,170
2023-08-09,25,77,176,14,127
2023-08-10,65,69,123,9,104
2023-08-11,56,40,140,1,99
2023-08-12,0,0,0,0,0
2023-08-13,0,0,0,0,0
2023-08-14,41,96,179,13,80
2023-08-15,32,129,161,17,156
2023-08-16,34,87,184,7,107
2023-08-17,45,80,135,12,134
2023-08-18,32,28,157,13,97
2023-08-19,0,0,0,0,0
2023-08-20,0,0,0,0,0
2023-08-21,53,85,192,6,100
2023-08-22,35,115,155,13,130
2023-08-23,27,75,164,7,95
2023-08-24,41,102,167,6,87
2023-08-25,30,67,109,24,90
2023-08-26,0,0,0,0,0
2023-08-27,0,0,0,0,0
2023-08-28,46,95,151,23,119
2023-08-29,33,111,152,14,81
2023-08-30,20,72,181,12,98
2023-08-31,21,75,138,23,91
2023-09-01,49,124,146,21,67
2023-09-02,0,0,0,0,0
2023-09-03,0,0,0,0,0
2023-09-04,19,39,35,3,2
2023-09-05,52,97,173,12,129
2023-09-06,46,99,163,13,82
2023-09-07,38,75,162,11,88
2023-09-08,29,104,136,0,83
2023-09-09,0,0,0,0,0
2023-09-10,0,0,0,0,0
2023-09-11,36,122,187,31,102
2023-09-12,40,130,167,8,152
2023-09-13,28,92,136,7,117
2023-09-14,37,82,201,5,121
2023-09-15,52,83,134,11,98
2023-09-16,0,0,0,0,0
2023-09-17,0,0,0,0,0
2023-09-18,34,108,199,11,131
2023-09-19,53,97,143,10,83
2023-09-20,44,138,189,21,139
2023-09-21,43,112,215,6,120
2023-09-22,42,75,208,3,78
2023-09-23,0,0,0,0,0
2023-09-24,0,0,0,0,0
2023-09-25,74,184,233,18,103
2023-09-26,37,87,209,15,101
2023-09-27,39,100,167,11,129
2023-09-28,37,64,208,9,103
2023-09-29,61,103,160,7,99
2023-09-30,0,0,0,0,0
2023-10-01,0,0,0,0,0
2023-10-02,37,184,158,11,111
2023-10-03,39,115,260,17,138
2023-10-04,32,77,172,9,95
2023-10-05,65,84,158,9,118
2023-10-06,17,76,170,14,121
2023-10-07,0,0,0,0,0
2023-10-08,0,0,0,0,0
2023-10-09,45,107,133,15,120
2023-10-10,47,87,223,12,97
2023-10-11,34,62,150,7,132
2023-10-12,47,73,166,7,115
2023-10-13,30,57,164,3,92
2023-10-14,0,0,0,0,0
2023-10-15,0,0,0,0,0
2023-10-16,58,113,228,15,82
2023-10-17,46,86,181,7,74
2023-10-18,25,60,172,7,150
2023-10-19,31,62,167,9,110
2023-10-20,40,66,173,4,78
2023-10-21,0,0,0,0,0
2023-10-22,0,0,0,0,0
2023-10-23,36,169,184,11,72
2023-10-24,31,108,186,10,69
2023-10-25,11,73,178,6,155
2023-10-26,50,88,197,17,81
2023-10-27,54,96,231,12,67
2023-10-28,0,0,0,0,0
2023-10-29,0,0,0,0,0
2023-10-30,51,116,213,24,95
2023-10-31,40,83,213,11,101
2023-11-01,48,72,187,8,94
2023-11-02,59,61,191,8,137
2023-11-03,51,102,202,7,67
2023-11-04,0,0,0,0,0
2023-11-05,0,0,0,0,0
2023-11-06,57,106,161,10,108
2023-11-07,47,110,228,11,117
2023-11-08,32,93,160,14,89
2023-11-09,20,69,240,5,87
2023-11-10,40,116,181,7,130
2023-11-11,0,0,0,0,0
2023-11-12,0,0,0,0,0
2023-11-13,51,107,176,4,86
2023-11-14,34,108,202,5,127
2023-11-15,44,66,186,17,72
2023-11-16,38,60,215,8,101
2023-11-17,28,91,136,8,81
2023-11-18,0,0,0,0,0
2023-11-19,0,0,0,0,0
2023-11-20,75,184,183,6,140
2023-11-21,46,111,176,3,73
2023-11-22,63,97,164,2,117
2023-11-23,12,14,27,2,72
2023-11-24,24,41,105,1,42
2023-11-25,0,0,0,0,0
2023-11-26,0,0,0,0,0
2023-11-27,61,131,181,4,66
2023-11-28,59,118,218,12,83
2023-11-29,30,75,199,2,86
2023-11-30,45,87,186,6,97
2023-12-01,38,70,178,8,101
2023-12-02,0,0,0,0,0
2023-12-03,0,0,0,0,0
2023-12-04,27,122,195,6,71
2023-12-05,33,60,207,17,119
2023-12-06,48,147,161,12,96
2023-12-07,44,108,203,8,80
2023-12-08,54,88,203,12,117
2023-12-09,0,0,0,0,0
2023-12-10,0,0,0,0,0
2023-12-11,39,106,175,9,63
2023-12-12,46,49,207,6,85
2023-12-13,62,171,145,16,98
2023-12-14,54,89,245,6,96
2023-12-15,41,68,173,11,118
2023-12-16,0,0,0,0,0
2023-12-17,0,0,0,0,0
2023-12-18,34,101,150,9,94
2023-12-19,51,87,208,8,126
2023-12-20,30,36,165,7,90
2023-12-21,54,59,174,8,107
2023-12-22,21,78,148,5,42
2023-12-23,0,0,0,0,0
2023-12-24,0,0,0,0,0
2023-12-25,1,0,5,0,22
2023-12-26,44,142,138,7,111
2023-12-27,95,105,203,7,78
2023-12-28,39,86,156,12,107
2023-12-29,40,88,148,15,95
2023-12-30,0,0,0,0,0
2023-12-31,0,0,0,0,0
2024-01-01,28,64,20,2,12
2024-01-02,62,121,218,21,88
2024-01-03,86,62,171,7,141
2024-01-04,77,57,154,15,107
2024-01-05,66,73,220,9,124
2024-01-06,0,0,0,0,0
2024-01-07,0,0,0,0,0
2024-01-08,63,119,238,11,86
2024-01-09,43,81,122,13,116
2024-01-10,62,69,217,8,116
2024-01-11,43,86,156,14,117
2024-01-12,50,69,147,11,113
2024-01-13,0,0,0,0,0
2024-01-14,0,0,0,0,0
2024-01-15,49,163,206,9,113
2024-01-16,75,93,187,9,103
2024-01-17,49,83,197,4,88
2024-01-18,40,73,194,7,98
2024-01-19,47,60,161,10,120
2024-01-20,0,0,0,0,0
2024-01-21,0,0,0,0,0
2024-01-22,80,134,180,15,93
2024-01-23,32,109,155,13,85
2024-01-24,56,103,148,15,92
2024-01-25,58,52,170,6,109
2024-01-26,73,83,142,11,106
2024-01-27,0,0,0,0,0
2024-01-28,0,0,0,0,0
2024-01-29,42,172,135,11,90
2024-01-30,47,146,230,9,125
2024-01-31,44,117,195,11,94
2024-02-01,34,78,269,13,83
2024-02-02,45,91,168,3,140
2024-02-03,0,0,0,0,0
2024-02-04,0,0,0,0,0
2024-02-05,54,117,180,10,106
2024-02-06,37,164,205,7,89
2024-02-07,42,112,192,14,158
2024-02-08,32,95,177,9,95
2024-02-09,49,110,188,16,125
2024-02-10,0,0,0,0,0
2024-02-11,0,0,0,0,0
2024-02-12,49,163,259,16,107
2024-02-13,48,150,224,13,103
2024-02-14,45,103,181,17,102
2024-02-15,28,58,207,8,92
